63,https://www.imdb.com/title/tt0000063/?ref_=adv_li_tt,Dessinateur express
64,https://www.imdb.com/title/tt0000064/?ref_=adv_li_tt,Dessinateur: Chamberlain
65,https://www.imdb.com/title/tt0000065/?ref_=adv_li_tt,Dessinateur: Reine Victoria
66,https://www.imdb.com/title/tt0000066/?ref_=adv_li_tt,Dessinateur: Von Bismark
67,https://www.imdb.com/title/tt0000067/?ref_=adv_li_tt,Dix chapeaux en 60 secondes
68,https://www.imdb.com/title/tt0000068/?ref_=adv_li_tt,Déchargement de bateaux
69,https://www.imdb.com/title/tt0000069/?ref_=adv_li_tt,Défense d'afficher
70,https://www.imdb.com/title/tt0000070/?ref_=adv_li_tt,Démolition d'un mur
71,https://www.imdb.com/title/tt0000071/?ref_=adv_li_tt,Départ des automobiles
72,https://www.imdb.com/title/tt0000072/?ref_=adv_li_tt,Départ des officiers
73,https://www.imdb.com/title/tt0000073/?ref_=adv_li_tt,Effets de mer sur les rochers
74,https://www.imdb.com/title/tt0000074/?ref_=adv_li_tt,Enfants jouant sur la plage
75,https://www.imdb.com/title/tt0000075/?ref_=adv_li_tt,Escamotage d'une dame au théâtre Robert Houdin
76,https://www.imdb.com/title/tt0000076/?ref_=adv_li_tt,Exit of Rip and the Dwarf
77,https://www.imdb.com/title/tt0000077/?ref_=adv_li_tt,Le fakir, mystère indien
78,https://www.imdb.com/title/tt0000078/?ref_=adv_li_tt,Feira de Gado na Corujeira
79,https://www.imdb.com/title/tt0000079/?ref_=adv_li_tt,La gare Saint-Lazare
80,https://www.imdb.com/title/tt0000080/?ref_=adv_li_tt,Grandes manoeuvres
81,https://www.imdb.com/title/tt0000081/?ref_=adv_li_tt,Les haleurs de bateaux
82,https://www.imdb.com/title/tt0000082/?ref_=adv_li_tt,A Hard Wash
83,https://www.imdb.com/title/tt0000083/?ref_=adv_li_tt,Les indiscrets
84,https://www.imdb.com/title/tt0000084/?ref_=adv_li_tt,Les ivrognes
85,https://www.imdb.com/title/tt0000085/?ref_=adv_li_tt,Jardinier brûlant des herbes
86,https://www.imdb.com/title/tt0000086/?ref_=adv_li_tt,Jetée et plage de Trouville (1er partie)
87,https://www.imdb.com/title/tt0000087/?ref_=adv_li_tt,Jetée et plage de Trouville (2e partie)
88,https://www.imdb.com/title/tt0000088/?ref_=adv_li_tt,Jour de marché à Trouville
89,https://www.imdb.com/title/tt0000089/?ref_=adv_li_tt,Départ de Jérusalem en chemin de fer
90,https://www.imdb.com/title/tt0000090/?ref_=adv_li_tt,Libération des territoriaux
91,https://www.imdb.com/title/tt0000091/?ref_=adv_li_tt,Le manoir du diable
92,https://www.imdb.com/title/tt0000092/?ref_=adv_li_tt,Marée montante sur Brise-Larmes
93,https://www.imdb.com/title/tt0000093/?ref_=adv_li_tt,Melbourne
94,https://www.imdb.com/title/tt0000094/?ref_=adv_li_tt,Miss de Vere
95,https://www.imdb.com/title/tt0000095/?ref_=adv_li_tt,Le papier protée
96,https://www.imdb.com/title/tt0000096/?ref_=adv_li_tt,Place Saint-Augustin
97,https://www.imdb.com/title/tt0000097/?ref_=adv_li_tt,Place de l'Opéra, 1er aspect
98,https://www.imdb.com/title/tt0000098/?ref_=adv_li_tt,Place de l'Opéra, 2e aspect
99,https://www.imdb.com/title/tt0000099/?ref_=adv_li_tt,Place de la Bastille
100,https://www.imdb.com/title/tt0000100/?ref_=adv_li_tt,Place de la Concorde
101,https://www.imdb.com/title/tt0000101/?ref_=adv_li_tt,Place du théâtre français
102,https://www.imdb.com/title/tt0000102/?ref_=adv_li_tt,Plage de Villiers par gros temps
103,https://www.imdb.com/title/tt0000103/?ref_=adv_li_tt,Plus fort que le maître
